序号,一级指标,二级指标,三级指标,对应指引条目,指标类型,分值,适用对象,自评分结果,工商联评分结果
1,党建引领,组织建设,党组织是否依法依规建立（有三名以上正式党员、条件成熟的企业，要单独建立党的组织；暂不具备单独组建党组织条件的，可联合组建区域性党组织、行业性党组织，实现党的组织覆盖。）,第十条,合规项,0.5,所有企业,,
2,,,企业党组织是否按要求执行党的组织生活制度,第十五条,合规项,0.5,所有企业,,
3,,,企业是否为党组织活提供活动经费和场所,第十七条,合规项,0.5,所有企业,,
4,,政治引领,党组织是否存在引导和监督企业遵守法律法规的行为,第十一条,有效项,-10.0,所有企业,,
5,,,党组织是否在企业内宣传贯彻党的路线方针政策,,合规项,0.5,所有企业,,
6,,党建参与治理,企业章程中是否明确党组织功能和定位,第九条,有效项,0.5,所有企业,,
7,,,党组织是否参与协调企业与政府、员工等多方关系,第十二条,有效项,0.5,所有企业,,
8,,员工凝聚与群团建设,党组织是否积极联系员工、维护员工权益、化解员工矛盾,第十三条,有效项,0.5,所有企业,,
9,,,企业是否规范规范党员组织关系接转,第十六条,调节项,-10.0,所有企业,,
10,产权结构,权属清晰,企业的工商登记信息是否与实际出资情况保持一致？,第十九条,合规项,0.5,所有企业,,
11,,,企业是否留存股东认缴和实缴出资的凭证，以及股权转让、赠与、继承、分割等继受取得股权的材料？,,合规项,0.5,公司制企业,,
12,,,企业是否向股东签发出资证明书，且要素齐全、签章有效？,第二十条,合规项,0.5,有限责任公司,,
13,,,企业是否向股东正式交付股票，并准确记载于股东名册？,,合规项,0.5,股份有限公司,,
14,,,企业在股东出资新设或股权发生变更后，是否置备并及时更新股东名册，并依法办理股权变更登记？,,合规项,0.5,公司制企业,,
15,,,当股东名册缺失或不规范时，企业是否通过公司章程、会议纪要等书面文件明确并认可新股东身份？,,合规项,0.5,公司制企业,,
16,,,企业在章程或股东协议中，是否设有股东权利受侵害时的争议解决机制（如仲裁、诉讼条款）？,第二十一条,有效项,0.5,公司制企业,,
17,,,企业是否在中国人民银行受益所有人信息管理系统中完成受益所有人信息备案？,第二十二条,合规项,0.5,所有企业,,
18,,,企业是否可通过章程、股东协议、股东名册、股权登记或其他合规文件，清晰识别控股股东和实际控制人？,,合规项,0.5,所有企业,,
19,,,企业的章程或股东协议是否规定了股权转让规则（如优先购买权条件、价格评估方式、受让方资格限制等）？,第二十三条,有效项,0.5,公司制企业,,
20,,,企业的章程或股东协议是否规定了股东退出机制（如股权回购、协议转让、司法拍卖等）？,,有效项,0.5,公司制企业,,
21,,,企业设立或吸收新股东时，是否对出资方的征信、经营状况、商业道德及出资能力开展尽职调查？,第二十四条,合规项,0.5,所有企业,,
22,,,企业存在股权代持情形的，是否签署代持协议、完成合规备案，并在受益所有人系统同步登记？,第二十五条,合规项,0.5,公司制企业,,
23,,,企业存在股权代持情形的，是否符合外商投资法及实施条例关于投资准入特别管理措施的规定？,,合规项,0.5,外商投资企业,,
24,,,企业在以股权进行让与担保融资时，是否签署规范合同并依法办理股权质押登记与信息备案？,第二十六条,合规项,0.5,公司制企业,,
25,,法人财产独立与保护,企业是否建立防范股东抽逃出资的内部财务控制制度，并在近三年未发生抽逃出资情形？,第二十七条,调节项,-10.0,公司制企业,,
26,,,企业是否在公司章程或内部制度中，明确界定公司法人财产与股东个人或家族财产的边界？,第二十八条,合规项,0.5,公司制企业,,
27,,,企业是否建立资产清单并定期更新，且每年至少进行一次全面的资产盘点和财务审计？,,合规项,0.5,公司制企业,,
28,,,企业是否建立独立的财务账户体系，并严格禁止使用股东、实际控制人、董监高等个人账户进行企业收支结算？,第二十九条,合规项,0.5,公司制企业,,
29,,,企业是否按照国家统一会计制度或公司章程，定期（至少每年一次）编制并向股东披露财务报表（至少包括资产负债表、利润表、现金流量表）？,,合规项,0.5,所有企业,,
30,,,企业是否建立核心资产登记管理制度，涵盖专利、商标、不动产、股权等，并定期（至少每年一次）开展权属核查和瑕疵补正？,第三十条,合规项,0.5,公司制企业,,
31,,,企业是否建立数据资源台账，并开展数据资源持有权、使用权、经营权确权登记？,第三十一条,有效项,0.5,所有企业,,
32,,,企业是否将符合条件的数据资源入表，分类计量并在财务报表中列示披露？,,有效项,0.5,所有企业,,
33,,,企业是否建立境外资产核算与风险管控制度，遵守我国外汇及安全审查规定？,第三十二条,合规项,0.5,所有企业,,
34,,,企业的境外子公司是否按所在国会计准则独立建账，并每年至少一次向母公司提交经审计或复核的财务报告？,,合规项,0.5,公司制企业,,
35,,,企业是否建立针对被查封、冻结、扣押资产的应急保护机制？,第三十三条,有效项,0.5,所有企业,,
36,,,企业是否制定破产保护或重整预案，明确触发条件、内部决策流程及责任分工？,第三十四条,有效项,0.5,所有企业,,
37,,,企业是否与地方工商联、行业协会、律师事务所等外部支持机构建立沟通渠道，以获得产权保护方面的支持？,第三十五条,有效项,0.5,所有企业,,
38,,,企业近三年内是否基于经营需要评估或调整过注册资本？,第三十六条,有效项,0.5,所有企业,,
39,,股权结构合理,企业是否每年更新并核查其关联企业清单，并建立关联企业退出机制？,第三十八条,有效项,0.5,所有企业,,
40,,,企业的股权层级是否控制在四级以内？,第三十九条,合规项,0.5,公司制企业,,
41,,,企业是否实施创新股权结构（如双层股权、动态股权、虚拟股权、限制性股权、期权、家族信托等）？,第四十条,有效项,0.5,所有企业,,
42,,,企业在过去三年内是否引入战略投资者、财务投资者或产业投资者等外部机构投资者？,第四十一条,有效项,0.5,所有企业,,
43,,,企业是否实施员工持股计划？,第四十二条,有效项,0.5,所有企业,,
44,,,企业是否制定股份制改革、挂牌孵化或上市的计划？,第四十三条,有效项,0.5,公司制企业,,
45,公司治理结构和机制,股东会治理,公司所有股东的各项权利是否都能得到保障？股东权利见《指引》第四十四条,第四十四条,合规项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
46,,,公司所有股东是否都已尽到了义务？股东义务见《指引》第四十四条,第四十四条,合规项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
47,,,近三年，公司股东会是否行使了《指引》列举职权中的6项及以上？股东会职权见《指引》第四十五条,第四十五条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
48,,,公司是否在章程模板的基础上进行了个性化修改，或者股东是否签订了股东协议？,第四十七条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
49,,,公司是否制定了股东会、董事会、监事会议事规则中的2项及以上？,第四十八条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
50,,,上一年度，公司是否召开了1次及以上股东会会议？,第四十九条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
51,,,公司是否于股东会会议召开十五日前通知全体股东？,公司法第六十四、一百一十五条,合规项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
52,,,公司是否留存了完整的股东会会议记录？,第五十一条,合规项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
53,,,公司章程是否规定了股东会对董事会的授权原则或具体内容？,第五十二条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
